id,task_id,track_id,lang,category,type,topic,complexity,image,task,choices,hint,status,llm_answer,confidence_level,submitted_answer,llm_info,user_answers
132,K90NH6A1n2xGnIac,t-f8rP6hy3pNi9IU,en,vqa,numeric,uae,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_83mja6kv3hewmfg8.png,how many small things are either rubber camels or falcons?,"{'a': '1', 'b': '2'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.5758157784248489, ""margin"": 0.15163155684969776, ""entropy"": 0.6816066526618697, ""probs"": {""a"": 0.4241842215751511, ""b"": 0.5758157784248489}, ""adapter"": ""amount""}",['b']
133,tcEQV6xRR1e3NPnX,t-R61AO3KzWLOS31,en,vqa,numeric,living-room,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_iivxo3zejj4u7wqg.png,how many metal things are either large cyan coffee tables or large red bookshelfs?,"{'a': '1', 'b': '0'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.5183690565005896, ""margin"": 0.036738113001179296, ""entropy"": 0.6924721841974654, ""probs"": {""a"": 0.5183690565005896, ""b"": 0.4816309434994103}, ""adapter"": ""amount""}",['a']
134,97OKRt80irkydIdG,t-wkTC3uAhrZnbPs,en,vqa,true-false,kitchen,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yomsoij36cw6k388.png,are there any other things that have the same shape as the small red metal object?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.7637604972351962, ""margin"": 0.5275209944703925, ""entropy"": 0.5467063755550977, ""probs"": {""a"": 0.7637604972351962, ""b"": 0.23623950276480382}, ""adapter"": ""trfl""}",['a']
137,JB7bCVajGgXL96Ku,t-xEljLdP20Miv0y,en,vqa,true-false,medical-field,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_qjkrq2q2jaae5fti.png,are there more cyan metal stethoscopes than tiny rubber stethoscopes?,"{'a': 'False', 'b': 'True'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9921538615120284, ""margin"": 0.984307723024057, ""entropy"": 0.045851267315439766, ""probs"": {""a"": 0.9921538615120284, ""b"": 0.007846138487971497}, ""adapter"": ""trfl""}",['a']
138,aNjWwdSETO0t5atL,t-S2GH7iR8MwIsHp,en,vqa,mcq,office,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0lz6farwblp0zi1j.png,what is the color of the chair that is the same size as the red metal thing?,"{'a': 'yellow', 'b': 'cyan', 'c': 'red'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.9616224216975333, ""margin"": 0.9248756750118086, ""entropy"": 0.16949974765629555, ""probs"": {""a"": 0.0016308316167419094, ""b"": 0.9616224216975333, ""c"": 0.03674674668572481}, ""adapter"": ""color""}",['b']
139,IVulCZIZ1wcf8ube,t-L7trJqKEna2uvE,en,vqa,true-false,animals,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_690f98c85gjg22nz.png,is there anything else that has the same color as the large metal object?,"{'a': 'False', 'b': 'True'}",,Submitted,b,0.0,a,"{""answer"": ""b"", ""confidence"": 0.9751604395273962, ""margin"": 0.9503208790547925, ""entropy"": 0.11631853991505187, ""probs"": {""a"": 0.024839560472603755, ""b"": 0.9751604395273962}, ""adapter"": ""trfl""}","['a', 'a']"
141,5GuMNcEZMW58EmDz,t-20H4YhLvr7YWd9,en,vqa,mcq,school,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_yd0cfxv39mknx5xx.png,there is a blue pencil that is the same material as the tiny purple pencil; what size is it?,"{'a': 'large', 'b': 'small'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9307527575933991, ""margin"": 0.8615055151867982, ""entropy"": 0.25168743026503887, ""probs"": {""a"": 0.9307527575933991, ""b"": 0.06924724240660092}, ""adapter"": ""size""}",['a']
146,Gv2aSnC5kra2G2O7,t-XKqvWFp2hH24ko,en,vqa,mcq,kitchen,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_9xcutoq9zmikl3w8.png,what is the size of the brown rubber object that is the same shape as the brown metal thing?,"{'a': 'large', 'b': 'small'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.6585457367693953, ""margin"": 0.3170914735387906, ""entropy"": 0.6419953732144283, ""probs"": {""a"": 0.34145426323060474, ""b"": 0.6585457367693953}, ""adapter"": ""size""}",['b']
147,H78XvogQQhRRIuCy,t-v2XxRdwmP3jZw6,en,vqa,mcq,underwater,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_sfc0d1c0hdrgni6m.png,what color is the large turtle that is made of the same material as the gray thing?,"{'a': 'green', 'b': 'cyan', 'c': 'brown', 'd': 'blue'}",,Submitted,d,0.0,a,"{""answer"": ""d"", ""confidence"": 0.9998806942744707, ""margin"": 0.9998391115153399, ""entropy"": 0.0013280248941335438, ""probs"": {""a"": 3.721913164153094e-05, ""b"": 4.1582759130840636e-05, ""c"": 4.0503834757040775e-05, ""d"": 0.9998806942744707}, ""adapter"": ""color""}","['b', 'b', 'a', 'a', 'a']"
148,osaK46mDcCnF8Dme,t-n2fyL6DGcBzuqL,en,vqa,true-false,underwater,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_rtscx97z5yy3380c.png,is the material of the tiny cyan object the same as the large thing?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.8199844156204118, ""margin"": 0.6399688312408236, ""entropy"": 0.47141711732023445, ""probs"": {""a"": 0.8199844156204118, ""b"": 0.18001558437958817}, ""adapter"": ""trfl""}",['a']
149,Y0bLQYopnr22juCh,t-WvsyPLEYDwcjXr,en,vqa,numeric,kitchen,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_bq6do10afvrapn4d.png,how many rubber things are tiny cyan spatulas or big things?,"{'a': '2', 'b': '3'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.50038476840429, ""margin"": 0.0007695368085799958, ""entropy"": 0.6931468844644663, ""probs"": {""a"": 0.49961523159571003, ""b"": 0.50038476840429}, ""adapter"": ""amount""}",['b']
151,lS1KrUS9G8MYBWJb,t-k7ozQdZqKcAxUQ,en,vqa,mcq,construction-site,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_5fm1k0tnwwq6jg64.png,the red metal thing has what shape?,"{'a': 'bulldozer', 'b': 'wheelbarrow', 'c': 'hard hat'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9994738171225862, ""margin"": 0.9991015257936887, ""entropy"": 0.004816649190191723, ""probs"": {""a"": 0.9994738171225862, ""b"": 0.00015389154851632532, ""c"": 0.000372291328897524}, ""adapter"": ""shape""}",['a']
152,r219mNwwcOvagPWS,t-3N306DZ72QniW9,en,vqa,mcq,garage-workshop,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ouj05lqh0fbf8sei.png,the brown object that is the same material as the large blue wrench is what size?,"{'a': 'small', 'b': 'large'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9940581422343278, ""margin"": 0.9881162844686556, ""entropy"": 0.03638054890034147, ""probs"": {""a"": 0.9940581422343278, ""b"": 0.005941857765672172}, ""adapter"": ""size""}",['a']
155,Ibao8jlvJV1EQKbJ,t-PoHWtBPaZDSf8j,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_wgbkz7zqcu1lupwi.png,what number of rubber things are either blue wrenchs or tires?,"{'a': '3', 'b': '1'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.9732102437819808, ""margin"": 0.9464204875639617, ""entropy"": 0.12339949945791188, ""probs"": {""a"": 0.026789756218019177, ""b"": 0.9732102437819808}, ""adapter"": ""amount""}",['b']
156,PM7W9oa2YaB5Htd9,t-ZlnOmL6OOje5jU,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_f0cno7h34dyamh09.png,what number of things are either metal tires or blue objects?,"{'a': '2', 'b': '4'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9817147422056869, ""margin"": 0.9634294844113739, ""entropy"": 0.09128844115908588, ""probs"": {""a"": 0.9817147422056869, ""b"": 0.018285257794313003}, ""adapter"": ""amount""}",['a']
157,4RZ0ZOD8xS8JiAEy,t-MOV6VAZ1rl2FC9,en,vqa,numeric,uae,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_deiqatp8dm2d11ar.png,what number of other things are made of the same material as the large purple thing?,"{'a': '3', 'b': '5'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9728338892802328, ""margin"": 0.9456677785604657, ""entropy"": 0.124748879236555, ""probs"": {""a"": 0.9728338892802328, ""b"": 0.0271661107197672}, ""adapter"": ""amount""}",['a']
162,JBuP9oviQKcNQ5mh,t-zGlX2b2EuET7nY,en,vqa,numeric,garage-workshop,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_3cgdk5cmgg23l79s.png,what number of other things are there of the same size as the blue metal thing?,"{'a': '0', 'b': '1'}",,Submitted,a,1.0,b,"{""answer"": ""a"", ""confidence"": 0.8263204189514955, ""margin"": 0.6526408379029911, ""entropy"": 0.4616729514782367, ""probs"": {""a"": 0.8263204189514955, ""b"": 0.17367958104850448}, ""adapter"": ""amount""}","['b', 'b']"
163,7vBbZ3i6WqWOnK9H,t-2qJ19pGC9eHJ0N,en,vqa,mcq,living-room,3,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_6tsui14p5bprzs7t.png,what is the brown coffee table made of?,"{'a': 'metal', 'b': 'rubber'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9959074568050827, ""margin"": 0.9918149136101656, ""entropy"": 0.026587369032085133, ""probs"": {""a"": 0.9959074568050827, ""b"": 0.004092543194917192}, ""adapter"": ""material""}",['a']
164,Uo58lX9qebo6BEn7,t-sOOiTd96804gG3,en,vqa,true-false,living-room,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_bna2i1ghgafu3ckp.png,are there more small blue rubber bookshelfs than big cyan rubber coffee tables?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9118349047808288, ""margin"": 0.8236698095616578, ""entropy"": 0.29827184132007634, ""probs"": {""a"": 0.9118349047808288, ""b"": 0.08816509521917104}, ""adapter"": ""trfl""}","['b', 'a']"
165,OQRgtTxn2gRp3rXD,t-rCHz4mEsE9H9Pm,en,vqa,mcq,construction-site,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_0gna03o3z3xovjhr.png,there is another small thing that is the same shape as the small green rubber thing; what is its color?,"{'a': 'brown', 'b': 'green', 'c': 'blue'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9388131355343354, ""margin"": 0.9077871093059311, ""entropy"": 0.27262619577670305, ""probs"": {""a"": 0.9388131355343354, ""b"": 0.030160838237260252, ""c"": 0.03102602622840433}, ""adapter"": ""color""}",['a']
167,5i3M1a9PCkKneGUD,t-qBHluOEBDxCtbo,en,vqa,true-false,school,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_b2kxd467nr1nacmx.png,is there anything else that has the same shape as the red object?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.909008712058884, ""margin"": 0.818017424117768, ""entropy"": 0.30482532214301994, ""probs"": {""a"": 0.909008712058884, ""b"": 0.09099128794111597}, ""adapter"": ""trfl""}",['a']
169,tChkvvtYidDFRGkU,t-6kC1GHcde8fpqs,en,vqa,numeric,construction-site,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_791bworl6ye2kycp.png,what number of other objects are the same size as the rubber hard hat?,"{'a': '1', 'b': '2'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.5465098319325069, ""margin"": 0.09301966386501376, ""entropy"": 0.6888145908901367, ""probs"": {""a"": 0.5465098319325069, ""b"": 0.45349016806749315}, ""adapter"": ""amount""}",['a']
172,fSUFAbZWvVoRMsNY,t-0jTfxqy95hBk21,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_jgq5cago0o2xrb1p.png,are there any other things that have the same material as the tiny red crane?,"{'a': 'False', 'b': 'True'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.6323886767647172, ""margin"": 0.2647773535294345, ""entropy"": 0.6576721369069443, ""probs"": {""a"": 0.6323886767647172, ""b"": 0.3676113232352827}, ""adapter"": ""trfl""}",['a']
199,Ey5bcsu3PnUE0CxH,t-EpPRfLSglnYcM3,en,vqa,numeric,school,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_aumcft5qyv34xjg2.png,how many objects are red objects or tiny rubber things?,"{'a': '3', 'b': '5'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.9850357953894862, ""margin"": 0.9700715907789723, ""entropy"": 0.07773267693391063, ""probs"": {""a"": 0.9850357953894862, ""b"": 0.014964204610513896}, ""adapter"": ""amount""}","['b', 'a']"
216,fKlsjWzWalIobodl,t-1RBvM9LMHWyAFX,en,vqa,numeric,medical-field,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ue4ial11tufw2sc9.png,what number of purple objects are either small medicine bottles or large hospital beds?,"{'a': '1', 'b': '0'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.9712351612220412, ""margin"": 0.9424703224440825, ""entropy"": 0.13042205642042715, ""probs"": {""a"": 0.028764838777958716, ""b"": 0.9712351612220412}, ""adapter"": ""amount""}",['b']
233,fWwASA9OVpUzIJGL,t-UmyfkaQEMfLu56,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_1zj4fp1zbo1izd5p.png,do the metal bulldozer and the blue crane have the same size?,"{'a': 'False', 'b': 'True'}",,Submitted,a,0.0,b,"{""answer"": ""a"", ""confidence"": 0.9056810218504072, ""margin"": 0.8113620437008144, ""entropy"": 0.3124180844124438, ""probs"": {""a"": 0.9056810218504072, ""b"": 0.09431897814959282}, ""adapter"": ""trfl""}","['b', 'b']"
235,T6j0I8Ksn9OMKELz,t-bMoEdEUQzNjJV6,en,vqa,numeric,animals,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_bhvds583odbiptej.png,how many other things are there of the same size as the rubber bird?,"{'a': '1', 'b': '3'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.8909813899931367, ""margin"": 0.7819627799862733, ""entropy"": 0.3444585727178543, ""probs"": {""a"": 0.8909813899931367, ""b"": 0.10901861000686339}, ""adapter"": ""amount""}",['a']
252,hqXWQtNjLTtbLMR2,t-CPvRQyemxiaPwg,en,vqa,true-false,fashion,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_vq7tdybtezweeyja.png,is the number of small blue metal shoes greater than the number of tiny cyan bags?,"{'a': 'False', 'b': 'True'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.8951136817653962, ""margin"": 0.7902273635307925, ""entropy"": 0.33568854108445345, ""probs"": {""a"": 0.8951136817653962, ""b"": 0.10488631823460375}, ""adapter"": ""trfl""}",['a']
282,scX0WQDs2mKZfUR0,t-BgHkGHxZt1wsyX,en,vqa,mcq,uae,4,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_ry69l0t4dt7vxhch.png,there is a cyan thing that is the same size as the yellow metal bedouin tent; what is its shape?,"{'a': 'falcon', 'b': 'falcon stand', 'c': 'camel'}",,Submitted,a,0.0,a,"{""answer"": ""a"", ""confidence"": 0.7951159660389822, ""margin"": 0.6497600639980999, ""entropy"": 0.6305702261137445, ""probs"": {""a"": 0.7951159660389822, ""b"": 0.05952813192013572, ""c"": 0.1453559020408822}, ""adapter"": ""shape""}","['b', 'a']"
296,CprV7x0ix7AdmiK4,t-dIOH16NYAamNs9,en,vqa,numeric,kitchen,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_4qy861nvm5li5zcd.png,what number of rubber objects have the same color as the big rubber fork?,"{'a': '2', 'b': '1'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.6413385571371071, ""margin"": 0.2826771142742142, ""entropy"": 0.6526441465796854, ""probs"": {""a"": 0.35866144286289287, ""b"": 0.6413385571371071}, ""adapter"": ""amount""}","['a', 'b']"
325,dvuiLTCr5V0uWOJX,t-OcH23CnLlVAlLS,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_g8ezuhl8n72saxx0.png,is the number of traffic cones less than the number of blue metal hard hats?,"{'a': 'True', 'b': 'False'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.9093730466075294, ""margin"": 0.8187460932150588, ""entropy"": 0.30398596966865465, ""probs"": {""a"": 0.09062695339247058, ""b"": 0.9093730466075294}, ""adapter"": ""trfl""}",['b']
358,eXtHCNfFEabRQg1u,t-W1ZVq4w0kESl09,en,vqa,numeric,living-room,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_f98y5eafpggft5iz.png,what number of small things are either purple metal televisions or metal things?,"{'a': '1', 'b': '0'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.7467721738118149, ""margin"": 0.4935443476236299, ""entropy"": 0.5658535696213061, ""probs"": {""a"": 0.7467721738118149, ""b"": 0.253227826188185}, ""adapter"": ""amount""}","['b', 'a']"
370,cRLnf2mDjuniqoIv,t-owD5iAIO5Pi5aR,en,vqa,true-false,underwater,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_dnbdh5pqvtvwkspc.png,is there a small starfish of the same color as the big starfish?,"{'a': 'True', 'b': 'False'}",,Submitted,b,1.0,b,"{""answer"": ""b"", ""confidence"": 0.96600278020863, ""margin"": 0.9320055604172598, ""entropy"": 0.1483734523647774, ""probs"": {""a"": 0.03399721979137013, ""b"": 0.96600278020863}, ""adapter"": ""trfl""}",['b']
394,dYcSEQXEoJhpNFgD,t-zDk5z5x5PjwKxB,en,vqa,numeric,office,2,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_z4nuz24x9rsbqdi6.png,what number of small things are either purple metal pen holders or cyan things?,"{'a': '4', 'b': '2'}",,Submitted,b,0.0,b,"{""answer"": ""b"", ""confidence"": 0.9568336278941868, ""margin"": 0.9136672557883737, ""entropy"": 0.1778796791203811, ""probs"": {""a"": 0.04316637210581312, ""b"": 0.9568336278941868}, ""adapter"": ""amount""}",['b']
403,PpGG8f8tdddvwJdQ,t-lKHaBUWgiGYQni,en,vqa,true-false,living-room,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_zdzdwisq74cpcou7.png,is there a rubber coffee table of the same color as the large metal sofa?,"{'a': 'True', 'b': 'False'}",,Submitted,a,0.0,b,"{""answer"": ""a"", ""confidence"": 0.9880890393442034, ""margin"": 0.9761780786884069, ""entropy"": 0.0646088260354238, ""probs"": {""a"": 0.9880890393442034, ""b"": 0.01191096065579656}, ""adapter"": ""trfl""}","['b', 'b']"
404,Ao2tob2mX24WKIPC,t-Gcz6ewE0W9le5V,en,vqa,true-false,construction-site,1,https://s3-eu-north-1-derc-wmi-crowdlabel-production.s3.eu-north-1.amazonaws.com/tii_vqa_n3shqh1v4c2d9d0n.png,are there any objects of the same color as the tiny rubber wheelbarrow?,"{'a': 'True', 'b': 'False'}",,Submitted,a,1.0,a,"{""answer"": ""a"", ""confidence"": 0.8110035557045988, ""margin"": 0.6220071114091976, ""entropy"": 0.4847645222464658, ""probs"": {""a"": 0.8110035557045988, ""b"": 0.1889964442954012}, ""adapter"": ""trfl""}","['b', 'a']"
